NAME	Neutrophils	Monocytes	MEP	CD4+ T-cells	Tregs	CD4+ Tcm	CD4+ Tem	CD8+ Tcm	CD8+ Tem	NK cells	naive B-cells	Memory B-cells	Class-switched memory B-cells	HSC	MPP	CLP	GMP	Macrophages	CD8+ T-cells	Erythrocytes	Megakaryocytes	CMP	Macrophages M1	Macrophages M2	Endothelial cells	DC	Eosinophils	Plasma cells	Chondrocytes	Fibroblasts	Smooth muscle	Epithelial cells	Melanocytes	Skeletal muscle	Keratinocytes	mv Endothelial cells	Myocytes	Adipocytes	Neurons	Pericytes	Preadipocytes	Astrocytes	Mesangial cells
A1BG	1	10.305	12.635	4.3	16.3	14.55	15.05	15.29	12.81	2.02	9.45	14.16	7.72	7.435	3.635	3.02	3.58	19.84	19.66	1	3.29	13.17	12.33	10.92	1.37	7.13	13.78	10.615	1	9.795	4.575	2.265	1.585	1.31	11.71	1.46	9.875	4.48	1	1.885	1	3.995	13.875
A2M	1	1	3.145	1	1	1	1	1.29	1.57	1	1	1	1	1.64	1.555	1	1	355.37	1	1	1	1	270.12	733.09	11.97	201.81	1	1	1.785	8.015	3.05	1	6.3	35.99	1	18.17	9.99	89.42	4.39	2.245	1.715	3.205	1
A4GALT	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.9	8.725	1.26	1	1.315	8.285	7.28	7.755	7.09	1	2.93	4.24	14.38	6.08	3.92	1	4.48	9.265	2.975	17.31
AACS	1	1.935	3.16	4.68	1.69	2.4	1.66	2.68	3.21	4.13	1.66	1.86	1.2	2.045	1.52	2.45	2.21	4.865	4	9.29	7.05	7.64	4.31	4.15	9.2	6.67	15.1	11.845	6.57	9.805	11.015	16.23	8.445	2.96	27.59	10.21	5.455	9.87	4.71	18.455	11.775	7.915	18.27
AARSD1	1	7.525	116.41	24.68	9.95	13.28	10.05	11.96	13.7	10.62	13.77	13.18	9.72	77.04	68.85	117.86	103.63	10.33	18.09	97.08	22.84	20.11	11.3	7.325	7.57	6.27	7.55	14.88	5.61	9.8	9.185	9.975	3.795	7.67	19.29	10.14	10.035	5.29	35.405	5.34	4.69	30.425	14.035
AASS	1	1	5.55	2.79	1	1	1	1.02	2.33	1	2.98	2.12	1.13	20.9	14.615	1.93	8.48	1	1	1.08	5.21	1	1	1	13.815	1	1	1	8.145	8.205	13.56	4.355	8.78	2.94	8.3	8.22	7.085	18.11	3.57	8.875	9.125	2.21	6.765
AATK	28.45	3.23	1	1	1	1	1	1	1	1.84	1	1	1	1	1	1	1	3.015	1	1	1	1	1	1	1	1	1.86	1	1	1	1	1	16.83	1	1	1.065	1	1	1	1	1	1	1
ABAT	9.44	2.94	1	2.96	1.96	1.28	1	1.53	2.55	2.9	2.835	1.81	1	2.25	2.485	4.39	1.29	3.705	1.88	1	1.39	3.12	1.24	5.085	1	2.05	17.59	1	2.905	1.97	1.025	1.81	1.565	1	2.29	1	1.825	1.57	46.05	1	1	3.035	1.765
ABCA1	24.9	16.145	5.96	2.45	1.67	1	1	1	1	1	17.785	5.63	2.72	2.775	7.525	12.02	9.7	43.405	1	1	1	8.86	70.5	1.4	5.255	7.76	68.63	1	20.755	15.125	63.2	11.155	10.92	6.28	5.465	3.455	18.435	33.01	1.56	57.135	10.155	12.565	19.535
ABCA2	13.01	2.86	1.4	5	13.44	12.39	11.26	24.68	44.98	36.3	2.575	3.3	2.09	1	1	1	7.75	3.585	11.81	1	1	12.95	2.35	1.54	3.87	2.35	9.07	1.63	5.76	8.11	10.555	4.245	3.53	4.12	1.845	2.955	5.505	5.39	1	6.07	5.46	12.47	13.045
ABCA3	1	1	1	1.64	1.27	1.49	1.25	1.39	1.82	2.15	1	1	1	1	1	1	1	1.06	1	1	1	1.36	1	1	9.84	2.03	1	1	1	1	1	1.585	1	1.77	1	14.36	1.08	2.17	4.425	1.02	1	1.2	10.32
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1.455	1	1	1	1	1	1	1	1	2.05	1.005	8.035	5.83	1	1.875	3.635	7.15	8.405	1	1.055	6.6	1	1.62	4.06	45.24	2.9	1.965	32.975	1	1
ABCA7	62.97	13.185	1	32.78	28.49	36.78	23.03	19.69	31.84	20.62	43.18	34.23	18.84	1	1.1	1	1	11.09	35.9	1	1.55	24.29	2.29	5.495	1.84	18.01	321.74	86.435	1.77	1.695	1.9	4.895	3.265	3.31	10.585	1.86	2.17	3.87	1	5.945	1.32	5.71	15.99
ABCA8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.005	9.76	25.675	1	2.4	6.62	1	1	10.37	25.76	2.17	1.07	10.785	13.125	1
ABCA9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.295	1.09	1	1	1	2.875	6.03	1	1	6.26	1	1	3.89	17.75	1.31	1	10.775	1	1
ABCB1	1	1	4.635	3.07	1	6.2	8.03	9.46	18.08	31.39	7.04	1.5	1	19.47	11.5	5.06	12.87	1	9.3	1	2.26	1.05	1	1	1.405	1.02	1	1.14	1	1	1	1	1	1	1	13.915	1	2.08	1.005	1	1	1.085	12.245
ABCB4	1	1	1	1	1	1	1	1	1	1	38.97	17.46	7.43	1.475	1	1	1	1	1	6.24	1	1	2.69	2.515	1	1.53	1	1.825	1.1	1	1	1	4.795	1	1	1	1	1	1	1	1	3.49	2.615
ABCB5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	109.14	1	1	1	1	1	1	1	1	1	1
ABCB6	1	1	1	3.19	1	1	1	1	1.27	1	2.145	1.77	1	1	1	1	1	2.375	2.75	18.6	21.52	1.43	2.55	3.525	9.31	1.77	1	4.98	9.365	10.52	13.955	9.18	22.155	8.69	7.215	13.18	16.325	5.44	13.61	7.9	11.21	13.95	5.31
ABCC2	1.41	1	1	1.58	1	1	1	1	1	1	1.07	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.39	1	1	1	1	28.19	1	1	1	1	1	1	1	5.145	1	1
ABCC3	1	7.94	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.99	1	1.49	58.54	1	15.23	47.85	1	9.73	5.71	1	8.715	7.015	3.17	4.4	1	1	8.145	1	4.94	3.43	1	18.205	13.275	3.095	18.065
ABCC4	1	1.9	9.265	3.47	3.67	2.71	1.9	2.59	3.8	1.94	1	3.66	3.69	1.695	5.175	1.96	2.19	4.36	3.58	10.64	186.02	1	3.41	2.935	5.735	8.12	1.93	3.515	7.05	6.84	13.095	7.54	5.645	2.49	3.96	6.185	6.63	2.05	1	48.62	7.375	6.185	16.28
ABCC5	16.02	6.305	33.97	11.64	7.19	6.44	4.23	5.85	8.99	6.89	5.615	4.45	2.79	1.875	12.665	1.08	11.74	28.6	11.27	59.75	20.63	17.29	6.61	13.955	6.96	10.03	30.57	2	8.39	5.57	6.86	5.41	6.955	7.78	4.195	3.36	14.19	7.74	22.605	5.805	4.765	8.065	5.1
