CIBERSORT	W070517001156	W070517001157	W070517001159	W070517001160	W070517001161	W070517001162	W070517102034	W070517102035	W070517102036	W070517102037	W070517102038	W070517102051
5S_rRNA	0	0	0	0	0	0	0	2.30471	0	0	0.752697	0
7SK	0	0	0	0	0	0	0	0	0	0.1819428	0	0
A1BG	1.5245888	1.1982094	2.2811013	2.5109631	1.752686	3.4670978	2.5238533	1.6347238	2.687471	3.385051	2.1951795	1.9127793
A1BG-AS1	0.21001956	0.263073	0.410865	0.571484	0.1397247	0.1422192	0.3482187	0.2940455	0.73245	0.5950881	0.4249701	0.272239
A1CF	0.00707868	0.1093625	0.02942712	0.0129127	0.02266773	0.2661125	0.02808965	0	0.0290253	0	0.00361567	0.00453107
A2M	45.003619	52.78127	16.102205	57.900548	86.983608	71.08736	115.38133	89.5997	102.1825572	114.758876	56.960233	50.221931
A2M-AS1	0.438515	0.672268	0.54476	0.464783	0.475811	0.825751	1.25674	0.930641	1.39313	1.14016	0.336551	0.656163
A2ML1	0.1459687	0.0082701661499	0.09324295	0.06323537185	0.0640693	0.1373198	0.10370235	0.12484512	0	0.1802747	0.0572235	0.015657678
A2MP1	0	0.00731554	0.00726539	0.00668283	0.0283467	0.00848105	0.0590896	0.0204037	0.00710856	0.0282564	0	0.00706789
A3GALT2	0.227464	0.376249	0.141749	0.227292	0.0407174	0.146195	0.224658	0.286556	0.0930413	0.0487201	0.0539941	0.379377
A4GALT	0.024427	0.602516	0.0734532	0	0.0469286	0.0582833	0.100585	0.0578665	0	0.0333841	0	0.441436
A4GNT	0.0261231	0	0.0171662	0	0.120355	0.0198457	0	0.0634647	0	0	0	0
AAAS	25.2694026828827	26.95894	16.129064	26.7087545	17.8068396005146	23.652586	18.835758	20.932862	18.9522989	27.6548264	31.932284781	25.92815564
AACS	2.54294372	2.151651	4.76229531	3.6224559	1.83784015	2.07103456	2.0719609	2.27421413	1.65455273	2.046748	2.4826092	1.99867209
AACSP1	0	0	0.0107665	0.0228435	0.0114559	0.0125789	0.0162758	0.0442652	0.0104259	0.0109815	0	0
AADAC	0	0	0.0307323	0.0285929	0	0	0.154599	0	0	0	0.159538	0
AADACL2	0	0	0	0.0327542	0.232924	0.0419905	0.0529085	0.0948311	0.0345007	0	0	0.0173316
AADACL2-AS1	0	0	0	0.095657	0	0	0	0	0	0	0	0
AADACL3	0.0139116	0	0	0	0	0	0.0132114	0.0491714	0	0	0.0340774	0
AADACL4	0.1381	0	0.0616369	0.0366189	0	0	0.120779	0.018315	0.059577	0	0.0776488	0
AADAT	0.614079	0.288971	0.02071809	0	0.6608664	0	0.0964339	0.0553852	0	0	0	0.822616
AAED1	5.0759252	1.6163571	3.323288	3.202382	2.1121286	2.674053	3.914783	1.4435277	2.482836	5.6638873	2.937956	4.0296966
AAGAB	18.946654	12.359008	13.0019638553	22.8334269	11.947303	19.920637	25.3361011	16.9339863	22.36709	19.386798	19.4063702	20.29627
AAK1	33.17759	43.261362	20.434962	60.2473881	26.972982	42.845666	44.5447604	38.29981	34.478269	46.415226	50.2374552	31.92086
AAMDC	5.46390635	3.4994434	3.6205129	3.1956655	2.096532	2.824323	3.14743	4.3454869	3.9569538	5.67552	4.7791305	2.920018
AAMP	25.4688929	19.720625	16.112458	28.146012	16.68566120517	19.9811499	18.281706	17.949441	16.2647667	20.941808	27.74252	22.284215
AANAT	0.2339672	0.3796409	0.5223805	0.4742195	0.4766128	0.4076166	0.6213142	0.959725	0.5844932	0.6376698	0.6260182	0.2593807
AAR2	2.96099	2.610579	2.517988	3.27096108392	2.68381	3.091217	3.42537	2.643145	3.0172359	4.07913	4.71173	3.66101
AARD	0	0.0164062	0	0	0.0127019	0.0186686	0	0.0819055	0.0155041	0	0	0
AARS	11.2457514	19.209744	9.559126	18.352546	11.095769	18.129064	15.7785687	13.579739	10.50809	18.802593	24.279328	11.05296
AARS2	2.0618276	2.90272	1.98928	3.1683311	2.2486278	3.2540318	3.155789	2.2721648	2.7061574	3.67379	3.1584537	2.662086
AARSD1	4.8853726	6.7589862	4.7084736	6.4700983	4.717218300938	8.6552052	9.3481258	7.0757917	6.2227393	10.3241668	7.8928075	6.7340421
AASDH	5.866188300788	4.083341	3.738654	7.5283499	8.0025386	8.1381094623	11.493187	5.243034	14.136666	12.739322	6.211211	6.4057109
AASDHPPT	15.5757832	11.0147718	8.122935	14.22869	9.7262602	12.582711	14.7394092	13.439252	13.4206339	12.884608	14.7609546	10.62700607
AASS	1.6211259543	1.526972	0.285664	2.494303	1.0961466	1.779845	3.4712168	1.6625762	3.2037612	3.706712	2.882682	1.6618798
AATBC	0.0717614	0.06175118	0.03053573	0.039872	0.0955684	0.1067188	0.02345607	0.02876287	0.0915061	0.0315074	0.0938155	0.1762073
AATF	40.3366608	29.9437455	22.1781638	33.198992	23.0291169	23.953004	27.957696	40.598501	24.550289	32.5400733	39.9943841	26.3597501
AATK	9.082961	11.2086269575372	6.51990450120661	6.9596372	5.2979315	3.9374875	4.009566	7.9037319	3.9547972	1.7960607	4.1402828	6.1975719
AATK-AS1	0	0	0.0092750466	0	0	0.021825189	0.027996191768	0	0	0	0	0
AB015752.3	0	0	0	0.0554883	0	0	0	0	0	0	0	0
AB019438.66	0	0	0	0	0	0	0.344567	0	0	0	0	0
AB019441.29	0.0414204	0	0	0	0	0	0.0404819	0	0	0	0	0
ABALON	0.0675971	0.0840137	0.0324018	0.0417593	0.0628179	0.151595	0.151282	0.0774185	0.0380594	0.0854104	0.0398123	0.112317
ABAT	22.92259248538	22.6694	13.3814496	25.540447	10.0151895	15.3032682	16.0754139	22.5933419	14.7203808	13.496509605115	30.6171755	25.4318821
ABBA01017803.1	0	0.0195075	0	0	0.0163926	0	0	0.0155201	0	0.01836	0	0
ABC12-49244600F4.4	0	0.0648731	0	0	0.153937	0.0608021	0.00591392	0.00733396	0.0325763	0	0.00658559	0
ABC14-1080714F14.1	78.4054	32.4289	63.0569	51.0108	47.5667	51.1993	26.177	75.4051	80.3002	40.433	47.9407	43.7667
ABC7-42404400C24.1	0.382335	0	0.255107	0.316035	0.111984	0.142378	0.0860135	0.0451116	0.126024	0.292494	0.121909	0
ABC7-42418200C9.1	0	0	0.0187983	0	0	0	0.000158892	0	0.0180186	0.0191065	0	0
ABC7-481722F1.1	0	0	0	0	0.0878231	0	0.0805542	0.293525	0.107692	0	0	0
ABCA1	30.93666	43.76517	36.59801	25.60592	8.69352	16.4077	20.66961	33.78254	17.86441	6.295206	32.95165	43.10627
ABCA10	0.6058549	0.3170828	0.2642313	0.38451290946064	0.2373579	0.5533561	0.889349127	0.8496322	0.513553	0.5920484	0.323869500438794	0.3204266
ABCA11P	1.0206936	0.7824337	0.9164683	0.4685249	1.0936931	0.990248	2.2717773	1.078149	2.086743	2.034132	1.022618	1.3301156
ABCA12	0.0112772	0.0850601	0.00492072	0.00451647	0.00389992	0.1160365	0.249206	0.104736	0.0911128	0.2693855	0.126241	0.0956115
