"ont"	"label"	"sample"	"dataset"
"CL:0000775"	"Neutrophils"	"mature.neutrophil"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"CD14.positive..CD16.negative.classical.monocyte"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.1"	"Blueprint-Encode"
"CL:0000050"	"MEP"	"megakaryocyte.erythroid.progenitor.cell"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.2"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"CD14.positive..CD16.negative.classical.monocyte.1"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.3"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"CD14.positive..CD16.negative.classical.monocyte.2"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.4"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.5"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.6"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell"	"Blueprint-Encode"
"CL:0000815"	"Tregs"	"regulatory.T.cell"	"Blueprint-Encode"
"CL:0000904"	"CD4+ Tcm"	"central.memory.CD4.positive..alpha.beta.T.cell"	"Blueprint-Encode"
"CL:0000905"	"CD4+ Tem"	"effector.memory.CD4.positive..alpha.beta.T.cell"	"Blueprint-Encode"
"CL:0000907"	"CD8+ Tcm"	"central.memory.CD8.positive..alpha.beta.T.cell"	"Blueprint-Encode"
"CL:0000913"	"CD8+ Tem"	"effector.memory.CD8.positive..alpha.beta.T.cell"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"CD14.positive..CD16.negative.classical.monocyte.3"	"Blueprint-Encode"
"CL:0000623"	"NK cells"	"cytotoxic.CD56.dim.natural.killer.cell"	"Blueprint-Encode"
"CL:0000788"	"naive B-cells"	"CD38.negative.naive.B.cell"	"Blueprint-Encode"
"CL:0000787"	"Memory B-cells"	"memory.B.cell"	"Blueprint-Encode"
"CL:0000972"	"Class-switched memory B-cells"	"class.switched.memory.B.cell"	"Blueprint-Encode"
"CL:0000623"	"NK cells"	"cytotoxic.CD56.dim.natural.killer.cell.1"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.7"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"CD14.positive..CD16.negative.classical.monocyte.4"	"Blueprint-Encode"
"CL:0000037"	"HSC"	"hematopoietic.stem.cell"	"Blueprint-Encode"
"CL:0000837"	"MPP"	"hematopoietic.multipotent.progenitor.cell"	"Blueprint-Encode"
"CL:0000051"	"CLP"	"common.lymphoid.progenitor"	"Blueprint-Encode"
"CL:0000557"	"GMP"	"granulocyte.monocyte.progenitor.cell"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.8"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"CD14.positive..CD16.negative.classical.monocyte.5"	"Blueprint-Encode"
"CL:0000788"	"naive B-cells"	"CD38.negative.naive.B.cell.1"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"CD14.positive..CD16.negative.classical.monocyte.6"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage"	"Blueprint-Encode"
"CL:0000625"	"CD8+ T-cells"	"CD8.positive..alpha.beta.T.cell"	"Blueprint-Encode"
"CL:0000623"	"NK cells"	"cytotoxic.CD56.dim.natural.killer.cell.2"	"Blueprint-Encode"
"CL:0000232"	"Erythrocytes"	"erythroblast"	"Blueprint-Encode"
"CL:0000556"	"Megakaryocytes"	"CD34.negative..CD41.positive..CD42.positive.megakaryocyte.cell"	"Blueprint-Encode"
"CL:0000232"	"Erythrocytes"	"erythroblast.1"	"Blueprint-Encode"
"CL:0000232"	"Erythrocytes"	"erythroblast.2"	"Blueprint-Encode"
"CL:0000232"	"Erythrocytes"	"erythroblast.3"	"Blueprint-Encode"
"CL:0000232"	"Erythrocytes"	"erythroblast.4"	"Blueprint-Encode"
"CL:0000037"	"HSC"	"hematopoietic.stem.cell.1"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"common.myeloid.progenitor"	"Blueprint-Encode"
"CL:0000557"	"GMP"	"granulocyte.monocyte.progenitor.cell.1"	"Blueprint-Encode"
"CL:0000050"	"MEP"	"megakaryocyte.erythroid.progenitor.cell.1"	"Blueprint-Encode"
"CL:0000837"	"MPP"	"hematopoietic.multipotent.progenitor.cell.1"	"Blueprint-Encode"
"CL:0000051"	"CLP"	"common.lymphoid.progenitor.1"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"common.myeloid.progenitor.1"	"Blueprint-Encode"
"CL:0000050"	"MEP"	"megakaryocyte.erythroid.progenitor.cell.2"	"Blueprint-Encode"
"CL:0000037"	"HSC"	"hematopoietic.stem.cell.2"	"Blueprint-Encode"
"CL:0000050"	"MEP"	"megakaryocyte.erythroid.progenitor.cell.3"	"Blueprint-Encode"
"CL:0000049"	"CMP"	"common.myeloid.progenitor.2"	"Blueprint-Encode"
"CL:0000557"	"GMP"	"granulocyte.monocyte.progenitor.cell.2"	"Blueprint-Encode"
"CL:0000775"	"Neutrophils"	"mature.neutrophil.9"	"Blueprint-Encode"
"CL:0000576"	"Monocytes"	"CD14.positive..CD16.negative.classical.monocyte.7"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.1"	"Blueprint-Encode"
"CL:0000051"	"CLP"	"common.lymphoid.progenitor.2"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.2"	"Blueprint-Encode"
"CL:0000556"	"Megakaryocytes"	"CD34.negative..CD41.positive..CD42.positive.megakaryocyte.cell.1"	"Blueprint-Encode"
"CL:0000556"	"Megakaryocytes"	"CD34.negative..CD41.positive..CD42.positive.megakaryocyte.cell.2"	"Blueprint-Encode"
"CL:0000051"	"CLP"	"common.lymphoid.progenitor.3"	"Blueprint-Encode"
"CL:0000037"	"HSC"	"hematopoietic.stem.cell.3"	"Blueprint-Encode"
"CL:0000837"	"MPP"	"hematopoietic.multipotent.progenitor.cell.2"	"Blueprint-Encode"
"CL:0000863"	"Macrophages M1"	"inflammatory.macrophage"	"Blueprint-Encode"
"CL:0000037"	"HSC"	"hematopoietic.stem.cell.4"	"Blueprint-Encode"
"CL:0000051"	"CLP"	"common.lymphoid.progenitor.4"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.1"	"Blueprint-Encode"
"CL:0000863"	"Macrophages M1"	"inflammatory.macrophage.1"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.2"	"Blueprint-Encode"
"CL:0000863"	"Macrophages M1"	"inflammatory.macrophage.2"	"Blueprint-Encode"
"CL:0000037"	"HSC"	"hematopoietic.stem.cell.5"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.3"	"Blueprint-Encode"
"CL:0000232"	"Erythrocytes"	"erythroblast.5"	"Blueprint-Encode"
"CL:0000232"	"Erythrocytes"	"erythroblast.6"	"Blueprint-Encode"
"CL:0000235"	"Macrophages"	"macrophage.3"	"Blueprint-Encode"
"CL:0000624"	"CD4+ T-cells"	"CD4.positive..alpha.beta.T.cell.4"	"Blueprint-Encode"
"CL:0000556"	"Megakaryocytes"	"CD34.negative..CD41.positive..CD42.positive.megakaryocyte.cell.3"	"Blueprint-Encode"
